,Protein,Plasmem,Time_AD,Date,Mol_ID,y_scaled,x_scaled
0,EphB1D,0.0,3.41,221011,3,0.10615989515072077,0.0
1,EphB1D,0.0,3.348,221011,3,0.12241153342070776,0.0
2,EphB1D,0.0,3.6,221011,3,0.056356487549148016,0.0
3,EphB1D,0.0,3.563,221011,3,0.06605504587155953,0.0
4,EphB1D,0.1,3.366,221011,3,0.11769331585845344,0.1
5,EphB1D,0.1,3.282,221011,3,0.13971166448230665,0.1
6,EphB1D,0.1,3.359,221011,3,0.1195281782437746,0.1
7,EphB1D,0.1,3.44,221011,3,0.09829619921363042,0.1
8,EphB1D,0.1,3.391,221011,3,0.11114023591087807,0.1
9,EphB1D,0.3,2.952,221011,3,0.22621231979030143,0.3
10,EphB1D,0.3,3.144,221011,3,0.1758846657929226,0.3
11,EphB1D,0.3,2.928,221011,3,0.23250327653997382,0.3
12,EphB1D,0.3,2.917,221011,3,0.235386631716907,0.3
13,EphB1D,1.0,2.54,221011,3,0.33420707732634336,1.0
14,EphB1D,1.0,2.561,221011,3,0.3287024901703801,1.0
15,EphB1D,1.0,2.549,221011,3,0.33184796854521625,1.0
16,EphB1D,1.0,2.612,221011,3,0.3153342070773263,1.0
17,CD24,0.0,3.792,221011,1,0.006028833551769419,0.0
18,CD24,0.0,3.626,221011,1,0.04954128440366978,0.0
19,CD24,0.0,3.479,221011,1,0.08807339449541285,0.0
20,CD24,0.0,3.602,221011,1,0.055832241153342066,0.0
21,CD24,0.1,3.058,221011,1,0.198427260812582,0.1
22,CD24,0.1,3.141,221011,1,0.17667103538663165,0.1
23,CD24,0.1,3.415,221011,1,0.10484927916120579,0.1
24,CD24,0.1,3.273,221011,1,0.14207077326343376,0.1
25,CD24,0.3,2.943,221011,1,0.22857142857142854,0.3
26,CD24,0.3,2.892,221011,1,0.24193971166448236,0.3
27,CD24,0.3,2.739,221011,1,0.2820445609436435,0.3
28,CD24,0.3,2.891,221011,1,0.24220183486238533,0.3
29,CD24,1.0,2.196,221011,1,0.42437745740498034,1.0
30,CD24,1.0,2.225,221011,1,0.41677588466579285,1.0
31,CD24,1.0,2.21,221011,1,0.42070773263433814,1.0
32,CD24,1.0,2.316,221011,1,0.3929226736566186,1.0
33,CD164,0.0,3.591,221011,0,0.05871559633027512,0.0
34,CD164,0.0,3.42,221011,0,0.10353866317169069,0.0
35,CD164,0.0,3.678,221011,0,0.035910878112712985,0.0
36,CD164,0.0,3.439,221011,0,0.0985583224115334,0.0
37,CD164,0.1,3.419,221011,0,0.10380078636959367,0.1
38,CD164,0.1,3.459,221011,0,0.09331585845347312,0.1
39,CD164,0.1,3.759,221011,0,0.014678899082568808,0.1
40,CD164,0.1,3.301,221011,0,0.13473132372214935,0.1
41,CD164,0.3,3.302,221011,0,0.13446920052424638,0.3
42,CD164,0.3,2.894,221011,0,0.2414154652686762,0.3
43,CD164,0.3,3.088,221011,0,0.19056356487549142,0.3
44,CD164,0.3,2.977,221011,0,0.21965923984272606,0.3
45,CD164,1.0,2.999,221011,0,0.21389252948885973,1.0
46,CD164,1.0,2.958,221011,0,0.22463958060288325,1.0
47,CD164,1.0,2.562,221011,0,0.32844036697247714,1.0
48,CD164,1.0,3.046,221011,0,0.20157273918741814,1.0
49,MUC1(0TR),0.0,3.424,221102,5,0.10249017038007868,0.0
50,MUC1(0TR),0.0,3.422,221102,5,0.10301441677588463,0.0
51,MUC1(0TR),0.0,3.815,221102,5,0.0,0.0
52,MUC1(0TR),0.1,3.714,221102,5,0.02647444298820445,0.1
53,MUC1(0TR),0.1,3.375,221102,5,0.11533420707732633,0.1
54,MUC1(0TR),0.1,3.421,221102,5,0.10327653997378772,0.1
55,MUC1(0TR),0.3,3.015,221102,5,0.20969855832241147,0.3
56,MUC1(0TR),0.3,3.143,221102,5,0.1761467889908257,0.3
57,MUC1(0TR),0.3,3.231,221102,5,0.15307994757536048,0.3
58,MUC1(0TR),1.0,2.964,221102,5,0.2230668414154653,1.0
59,MUC1(0TR),1.0,3.157,221102,5,0.1724770642201835,1.0
60,MUC1(0TR),1.0,3.314,221102,5,0.13132372214941024,1.0
61,MUC1(4TR),0.0,3.513,221102,6,0.07916120576671037,0.0
62,MUC1(4TR),0.0,3.536,221102,6,0.07313237221494095,0.0
63,MUC1(4TR),0.0,3.6,221102,6,0.056356487549148016,0.0
64,MUC1(4TR),0.1,3.475,221102,6,0.08912188728702486,0.1
65,MUC1(4TR),0.1,3.444,221102,6,0.0972477064220183,0.1
66,MUC1(4TR),0.1,3.49,221102,6,0.08519003931847957,0.1
67,MUC1(4TR),0.3,3.385,221102,6,0.11271297509829625,0.3
68,MUC1(4TR),0.3,3.387,221102,6,0.11218872870249019,0.3
69,MUC1(4TR),0.3,3.398,221102,6,0.10930537352555691,0.3
70,MUC1(4TR),1.0,3.222,221102,6,0.15543905635648758,1.0
71,MUC1(4TR),1.0,3.155,221102,6,0.17300131061598956,1.0
72,MUC1(4TR),1.0,3.206,221102,6,0.15963302752293573,1.0
73,SDC1,0.0,3.539,221102,8,0.07234600262123192,0.0
74,SDC1,0.0,3.405,221102,8,0.10747051114023598,0.0
75,SDC1,0.0,3.476,221102,8,0.08885976408912188,0.0
76,SDC1,0.1,2.743,221102,8,0.2809960681520315,0.1
77,SDC1,0.1,2.748,221102,8,0.2796854521625163,0.1
78,SDC1,0.1,2.73,221102,8,0.2844036697247706,0.1
79,SDC1,0.3,2.558,221102,8,0.32948885976408915,0.3
80,SDC1,0.3,2.39,221102,8,0.37352555701179546,0.3
81,SDC1,0.3,2.485,221102,8,0.3486238532110092,0.3
82,SDC1,1.0,2.438,221102,8,0.3609436435124508,1.0
83,SDC1,1.0,2.584,221102,8,0.3226736566186107,1.0
84,SDC1,1.0,2.274,221102,8,0.4039318479685452,1.0
85,PD1,0.0,3.486,221102,7,0.08623853211009169,0.0
86,PD1,0.0,3.567,221102,7,0.06500655307994752,0.0
87,PD1,0.0,3.5,221102,7,0.08256880733944949,0.0
88,PD1,0.1,2.85,221102,7,0.25294888597640885,0.1
89,PD1,0.1,2.934,221102,7,0.23093053735255564,0.1
90,PD1,0.1,2.923,221102,7,0.2338138925294888,0.1
91,PD1,0.3,2.61,221102,7,0.31585845347313235,0.3
92,PD1,0.3,2.578,221102,7,0.3242463958060289,0.3
93,PD1,0.3,2.486,221102,7,0.3483617300131061,0.3
94,PD1,1.0,2.048,221102,7,0.4631716906946265,1.0
95,PD1,1.0,2.119,221102,7,0.4445609436435124,1.0
96,PD1,1.0,2.09,221102,7,0.4521625163826999,1.0
97,CD43,0.0,3.691,221027,2,0.03250327653997387,0.0
98,CD43,0.0,3.674,221027,2,0.036959370904324995,0.0
99,CD43,0.0,3.517,221027,2,0.07811271297509825,0.0
100,CD43,0.1,3.493,221027,2,0.08440366972477065,0.1
101,CD43,0.1,3.772,221027,2,0.011271297509829692,0.1
102,CD43,0.1,3.436,221027,2,0.09934469200524243,0.1
103,CD43,0.3,3.516,221027,2,0.07837483617300134,0.3
104,CD43,0.3,3.37,221027,2,0.11664482306684143,0.3
105,CD43,0.3,3.373,221027,2,0.11585845347313228,0.3
106,CD43,1.0,3.143,221027,2,0.1761467889908257,1.0
107,CD43,1.0,3.286,221027,2,0.13866317169069464,1.0
108,CD43,1.0,3.219,221027,2,0.15622542595019662,1.0
109,F174B,0.0,3.641,220914,4,0.045609436435124495,0.0
110,F174B,0.0,3.344,220914,4,0.12346002621231977,0.0
111,F174B,0.0,3.696,220914,4,0.031192660550458662,0.0
112,F174B,0.1,3.408,220914,4,0.10668414154652683,0.1
113,F174B,0.1,3.503,220914,4,0.08178243774574045,0.1
114,F174B,0.3,2.968,220914,4,0.22201834862385317,0.3
115,F174B,0.3,2.942,220914,4,0.2288335517693315,0.3
116,F174B,0.3,3.383,220914,4,0.1132372214941022,0.3
117,F174B,1.0,2.277,220914,4,0.40314547837483616,1.0
118,F174B,1.0,2.334,220914,4,0.38820445609436427,1.0
119,F174B,1.0,2.216,220914,4,0.41913499344691996,1.0
120,VCAM1,0.0,3.743,220914,10,0.01887287024901707,0.0
121,VCAM1,0.0,3.499,220914,10,0.08283093053735247,0.0
122,VCAM1,0.0,3.565,220914,10,0.06553079947575358,0.0
123,VCAM1,0.1,3.56,220914,10,0.06684141546526867,0.1
124,VCAM1,0.1,3.697,220914,10,0.030930537352555687,0.1
125,VCAM1,0.1,3.617,220914,10,0.05190039318479689,0.1
126,VCAM1,0.1,3.514,220914,10,0.0788990825688074,0.1
127,VCAM1,0.3,3.438,220914,10,0.09882044560943637,0.3
128,VCAM1,0.3,3.219,220914,10,0.15622542595019662,0.3
129,VCAM1,0.3,3.708,220914,10,0.02804718217562252,0.3
130,VCAM1,0.3,3.459,220914,10,0.09331585845347312,0.3
131,VCAM1,1.0,3.038,220914,10,0.20366972477064227,1.0
132,VCAM1,1.0,3.17,220914,10,0.16906946264744427,1.0
133,VCAM1,1.0,3.05,220914,10,0.20052424639580602,1.0
134,VCAM1,1.0,3.059,220914,10,0.1981651376146788,1.0
135,VAMP2,0.0,3.486,220914,9,0.08623853211009169,0.0
136,VAMP2,0.0,3.525,220914,9,0.07601572739187423,0.0
137,VAMP2,0.0,3.514,220914,9,0.0788990825688074,0.0
138,VAMP2,0.1,2.481,220914,9,0.3496723460026212,0.1
139,VAMP2,0.1,2.488,220914,9,0.34783748361730016,0.1
140,VAMP2,0.1,2.562,220914,9,0.32844036697247714,0.1
141,VAMP2,0.1,2.365,220914,9,0.38007863695937083,0.1
142,VAMP2,0.3,2.045,220914,9,0.4639580602883355,0.3
143,VAMP2,0.3,1.829,220914,9,0.5205766710353866,0.3
144,VAMP2,0.3,1.776,220914,9,0.5344692005242464,0.3
145,VAMP2,0.3,1.753,220914,9,0.5404980340760157,0.3
146,VAMP2,1.0,0.677,220914,9,0.8225425950196592,1.0
147,VAMP2,1.0,1.15,220914,9,0.6985583224115335,1.0
148,VAMP2,1.0,1.389,220914,9,0.635910878112713,1.0
